食品添加剂中文名称,食品添加剂英文名称,CNS,INS,功能,质量规格标准,JECFA规格资料,备注,添加剂说明
阿拉伯胶,arabic gum,20.008,414,增稠剂、其他,,,,"### 阿拉伯胶概况及适用范围：

**适用食品：**
阿拉伯胶在食品工业中广泛使用，作为乳化剂、稳定剂、黏合剂和甜味剂。常见应用包括但不限于饮料（如茶、果汁）、烘焙产品（如蛋糕、面包）、冰淇淋、糖果以及一些加工肉类制品等。

### 对人体的影响：
- **主要危害：**阿拉伯胶对人体的潜在影响主要包括三个方面：消化功能影响、血糖影响及过敏反应。
  - **消化功能影响：**过量摄入可能会影响胃肠道的消化吸收过程，但通常情况下不会引起严重问题。对于一般人群而言，适量食用通常是安全的。
  - **血糖影响：**阿拉伯胶作为一种低糖食品增稠剂，对血糖水平的影响较小，但对于有特定健康需求的人群（如糖尿病患者），在摄入含有阿拉伯胶的食物时应保持谨慎。
  - **过敏反应：**一些人可能对阿拉伯胶过敏，表现出轻微症状如皮疹、瘙痒等。严重情况下可能出现更广泛的过敏反应，包括呼吸困难和食物不耐受。

### 是否对特定人群有害：
- **小孩、孕妇及老人：**
  - 小孩：对于儿童而言，由于消化系统尚未完全发育成熟，大量摄入阿拉伯胶可能会暂时性影响消化过程，但一般认为在正常推荐摄入量内是安全的。
  - 孕妇：适量食用阿拉伯胶对孕妇通常没有明显风险。然而，过敏反应的风险可能增加，在孕期出现任何不寻常症状时应立即咨询医生或营养师。
  - 老人：老人与年轻人相比，消化功能可能会有所下降，但正常摄入量下阿拉伯胶的使用对于健康老人来说是安全的。

### 剂量：
- **安全摄入量**：通常认为阿拉伯胶在食品中的常规添加量对大多数人而言是安全的。世界卫生组织（WHO）和国际粮农组织（FAO）推荐的最大每日允许摄入量为“无显著健康风险”级别。
  - 具体剂量建议遵循食品标签上的指示或咨询专业营养师，确保个人饮食需求得到满足的同时，避免过量。

### 总结：
阿拉伯胶作为一种天然的可食用胶状物质，在食品工业中具有广泛的应用。虽然一般情况下适量使用是安全的，但对某些个体可能引发过敏反应，特别是对于敏感人群（如小孩、孕妇和老人）应谨慎考虑摄入量，并在必要时咨询专业人士以确保健康饮食。"
β－阿朴－8’－胡萝卜素醛,β-apo-8’-carotenal,08.018,160e,着色剂,,,,"### β-阿朴-8’-胡萝卜素醛情况总结

#### 应用介绍：
β-阿朴-8’-胡萝卜素醛（或称反式-beta-阿朴-8'-胡萝卜醛）是一种食品添加剂，广泛用于提高食品的抗氧化性能。它具有较高的熔点和闪点，不易燃易爆的特点使得其在运输和储存方面更为安全便利。

#### 生物学功能：
- **抗氧化性**：β-阿朴-8’-胡萝卜素醛能够淬灭自由基、抑制脂质过氧化反应，从而保护食品免受氧化损伤，延长保质期。
- 具有**防腐作用**：通过减少微生物的活性来减缓食品变质的速度。

#### 安全性：
- **一般使用**：作为一种食品添加剂，β-阿朴-8’-胡萝卜素醛在许多国家和地区都有明确的法规限制和使用标准。其安全性已经过评估，并被允许在特定食品中作为抗氧化剂或防腐剂使用。
- **对不同人群的影响**：一般来说，在推荐剂量范围内食用含有β-阿朴-8’-胡萝卜素醛的食品被认为是安全的，包括小孩、孕妇及老人。然而，如需特别关注其安全性，应咨询医生或营养师的意见。

#### 剂量：
- **推荐剂量**：具体使用剂量通常根据食品类型和法规要求来确定，并可能因国家/地区而异。例如，在中国（NY_T 2897-2016），有针对饲料中β-阿朴-8'-胡萝卜素醛的测定标准，但具体的添加限量需要参照特定的标准或指导原则。
- **安全摄入**：在规定的使用范围内，该食品添加剂对健康的影响被认为是可控和低风险的。过量摄入可能会导致副作用的风险增加，因此应遵循推荐的剂量。

总之，β-阿朴-8’-胡萝卜素醛作为一种食品添加剂，在合理使用的情况下被认为是安全的，并可有效提升食品的质量和保质期。对于特定人群如孕妇、小孩及老人，建议在医生或专业人士指导下评估其适用性。"
爱德万甜（又名N-{N-[3-（3-羟基-4-甲氧基苯基）丙基]-L-α-天冬氨酰}-L-苯丙氨酸-1-甲酯）,advantame(N-[N-[3-(3-hydroxy-4-methoxyphenyl) propyl]-L-α-aspartyl]-L-phenylalanine 1-methyl ester),19.026,969,甜味剂,,,2017年10月30日，《关于爱德万甜等6种食品添加剂新品种、环己基氨基磺酸钠（又名甜蜜素）等6种食品添加剂扩大用量和使用范围的公告》（2017年 第8号）批准食品添加剂新品种爱德万甜（又名N-{N-[3-（3-羟基-4-甲氧基苯基）丙基]-L-α-天冬氨酰}-L-苯丙氨酸-1-甲酯）。,"### 爱德万甜（N-{N-[3-(3-羟基-4-甲氧基苯基)丙基]-L-a-天冬氨酰}-L-苯丙氨酸-1-甲酯）情况总结：

#### 应用领域：
爱德万甜是一种高强度的甜味剂，主要被用于食品工业中作为甜味剂和增味剂。其甜度是蔗糖的约14000至48000倍，这使其在需要微量添加以达到预期口感的效果时非常有用。

#### 对人体的影响：
爱德万甜是人工合成的化合物，在严格的质量控制下用于食品工业中，一般认为对人体是安全的。目前的研究表明，它对成人、小孩、孕妇和老年人都是相对安全的。然而，由于每个人体质的不同，有些人可能对其过敏或有特定反应。在实际应用时，建议遵循生产商提供的使用指南，并注意观察任何潜在的不良反应。

#### 剂量：
爱德万甜的用量通常远低于传统糖类，具体剂量依赖于食品类型和口感需求。一般推荐的最大允许浓度为0.15克/千克（对于成人）。在不同的食品中，根据其甜度比和食品的具体要求，用量会有所不同。

#### 安全性：
虽然爱德万甜被视为安全的食品添加剂，但在使用时仍需遵循相关法规及指导原则。如遇过敏反应或不适症状，请立即停止食用并寻求医疗建议。

总的来说，爱德万甜作为一种高效的甜味剂，在食品工业中有着广泛的应用前景，并且在合理用量下被认为对大多数消费者是安全的。然而，个人体质差异可能会导致个体敏感性不同，因此在特殊情况下（如孕妇、婴儿或有特定健康状况的人）使用时应特别注意。"
氨基乙酸（又名甘氨酸）,glycine,12.007,640,增味剂,,,包括氨基乙酸(羟基乙腈法)。  2017年3月21日，《关于食品添加剂新品种氨基乙酸（羟基乙腈法）等的公告》（2017年第3号）批准食品添加剂新品种氨基乙酸（羟基乙腈法）。,"### 总结甘氨乙酸（甘氨酸）的情况：

#### 使用领域：
甘氨酸作为食品添加剂，在多种食品中被广泛应用，主要用于提高食品的口感和色泽。它的应用范围广泛，从饮料到糖果、烘焙产品等都有可能使用甘氨酸。

#### 安全性：
- **对成人**：甘氨酸是人体必需的基本氨基酸之一，对大多数人来说是安全且无害的。
- **对孩子、孕妇及老人**：在合理摄入量内，甘氨酸被认为是安全的。然而，过量摄入可能影响特定群体（如孕妇）中某些矿物质（如钙和镁）的吸收，因此建议遵循食品法规中的推荐剂量。

#### 剂量控制：
1. **成人**：通常情况下，作为食品添加剂使用的甘氨酸剂量在安全范围内，并不会对人体造成伤害。
2. **儿童、孕妇及老人**：对于这些特定人群，由于他们对营养的需求和代谢可能有所不同，在使用含有甘氨酸的食品时应遵循适当的推荐摄入量或医生建议。

#### 注意事项：
- 遵循法规和标签指示：确保在食用含甘氨酸的食品时，遵循相关食品安全标准和指导，避免超量摄入。
- 特定健康状况下的注意事项：对于有特定健康问题（如肾功能障碍）的人群，在使用含有甘氨酸的产品前应咨询医生。

### 综上所述：
甘氨乙酸（甘氨酸）作为食品添加剂，主要应用于提高食品口感、色泽等方面。在合理摄入量内，对大多数人群是安全的。针对儿童、孕妇及老人等特定群体，应关注其特殊需求和可能的影响，并遵循适当的剂量指南。"
铵磷脂,ammonium phosphatide,10.033,442,乳化剂,,,,"铵磷脂是一种食品添加剂，主要用于作为乳化剂应用于食品工业中。其主要成分由卵磷脂和其他三种物质组成，在提供能量、形成细胞膜和维持新陈代谢方面发挥着重要作用。

### 使用范围：
- 主要用于食用油脂中，以增加油脂的流动性，如在硬化植物油加工过程中。
- 可能作为乳化剂加入到多种食品中，如烘焙产品（面包）、人造奶油、蛋黄酱等，以改善口感和稳定性。

### 安全性与潜在影响：
- 铵磷脂被认为是一种相对安全的食品添加剂，对于健康成人来说，短期摄入通常是无害的。
- 对于特殊人群，如孕妇、儿童和老年人，其对身体的具体影响可能需要谨慎考虑。研究表明，适量食用含卵磷脂的食物通常被认为是安全的，但过量摄入可能会引起消化问题或过敏反应。

### 剂量与使用限制：
- 食品添加剂的使用遵循GB 2760（食品添加剂使用标准）等国家标准，具体剂量应在许可范围内。例如，在烘焙产品中，铵磷脂的添加量通常受到严格控制以确保安全和有效。
- 不同类型的食品对添加剂的需求不同，因此在特定食品中的适用范围可能有限制。

### 注意事项：
1. **敏感性**：极少数人可能对卵磷脂或其成分过敏，特别是婴幼儿和有食物不耐受史的人群应特别注意。
2. **健康成人**：对于大多数健康成年人来说，适量摄入添加剂是安全的。然而，过量摄入可能会引起消化不良等轻微不适。

### 总结：
铵磷脂作为一种乳化剂，在食品工业中发挥着重要作用，但其使用和安全性需遵循相关法规，并根据特定人群的需求和限制来管理。在日常饮食中合理添加和消费含此添加剂的食品通常被认为是安全的。对于孕妇、儿童、老人等特殊群体，应特别注意摄入量并咨询专业人士建议。"
巴西棕榈蜡,carnauba wax,14.008,903,被膜剂、抗结剂,,,,"### 巴西棕榈蜡的全面总结：

#### 适用范围：
- **汽车美容**：在汽车美容领域使用，因其天然性、环保性和对车漆保护作用而受到欢迎。
- **食品加工**：作为安全的食品添加剂，可用于各种食品的包装和表面处理，提供光泽并延长保质期。

#### 对人体的影响：
- **安全性**：巴西棕榈蜡被认为是无毒、无害且对健康影响较小的物质。在适量使用的情况下，对人体是安全的。
- **儿童使用**：对于儿童而言，因安全性较高，通常情况下可放心食用或接触（如玩具表面处理）。但若特定产品中的使用量超出规定标准，则需注意潜在风险。

#### 孕妇和老人：
- **孕妇与老人**：在正常用量内，对孕妇和老年人的安全性也相对良好。然而，在食品添加剂的摄入上，仍建议遵循卫生组织推荐的指导原则，并咨询医生或营养师的意见以确保安全。
- 注意：使用于食品包装的巴西棕榈蜡应严格符合相关食品安全标准。

#### 剂量：
- **安全剂量**：根据国际和国家食品安全标准，巴西棕榈蜡在食品中的使用量有明确的规定。这些规定旨在确保其安全性，并防止过量摄入可能带来的任何潜在风险。
- **特定人群**：对于特殊人群（如儿童、孕妇和老人），建议在食用含有巴西棕榈蜡的产品时，考虑个体差异及敏感性，必要时可咨询专业人士。

### 总结：
巴西棕榈蜡是一种天然来源的食品添加剂，在汽车美容和食品加工领域均有广泛应用。由于其被认为是安全无害的物质，适量使用对于包括儿童、孕妇、老人在内的大多数人群都是适宜的。在食品中添加时，应严格遵守国家规定的剂量限制以确保安全性。尽管如此，对于特定个体或对某些天然成分敏感的人群，在首次尝试含有巴西棕榈蜡的产品时，建议进行小量测试，并留意任何可能的反应。"
白油（又名液体石蜡）,"mineral oil, white (liquid paraffin)",14.003,905a,被膜剂,,,,"### 白油（液体石蜡）概述：

白油，又称液体石蜡，是一种从石油中提取的无色透明、无臭、不易挥发的矿物油。主要成分是碳氢化合物，包括环烷烃和链烷烃等饱和脂肪烃。它具有良好的化学稳定性和生物相容性，广泛应用于日化行业、药品生产、食品加工等多个领域。

### 适用食品：

- **食品包装**：在一些食品包装材料中使用白油作为润滑剂或脱模剂。
- **烘焙产品**：用于改善面团和糕点的品质与口感。
- **饮料制造**：在某些情况下，用于食品处理设备的清洁和保养。

### 对人体的影响：

1. **一般安全性**：
   - 白油被认为是安全的食品添加剂，在规定的使用范围内对健康无害。它不会对人体造成直接毒害作用。

2. **特别人群关注**：
   - **小孩、孕妇、老人**：对于这些特殊群体，虽然没有明确表明白油对其有害，但因其为化学物质，建议在日常饮食中的使用量要谨慎控制，特别是对于过敏或敏感体质的儿童和老年人。如果存在特定健康问题或疑虑，应咨询医生或营养专家的意见。

### 剂量与安全：

- **食品安全标准**：在食品中使用的白油（液体石蜡）需遵守《食品安全国家标准 食品添加剂使用标准》GB 1886.215等规定。确保其使用剂量符合法规要求，以保障食品安全。
  
- **限制与警告**：尽管总体安全，建议在日常饮食中的使用量不要过高，并避免长时间、高浓度接触白油，尤其是对于敏感人群。

### 结论：

白油（液体石蜡）作为一种食品添加剂，在规定的范围内用于特定的食品加工和包装中通常是安全的。然而，针对儿童、孕妇和老年人等特殊群体的摄入，应特别关注其安全性，必要时咨询专业人士的意见，并遵守食品安全标准中的剂量限制。在使用过程中，确保产品的纯度和质量也极为重要，以避免潜在的不纯物质带来的风险。"
L-半胱氨酸盐酸盐,L-cysteine hydrochlorides sodium and potassium salts,13.003,920,面粉处理剂,,,,"L-半胱氨酸盐酸盐，化学名称通常指L - 半胱氨酸盐酸盐一水合物（C3H8ClNO2S），是一种常见的食品添加剂。以下是对该食品添加剂情况的多方面总结：

### 适用范围：
1. **食品加工**：在烘焙、糖果制造、饮料等食品加工中作为稳定剂或防腐剂使用。
2. **保健与营养品**：用于生产功能性食品和补充剂，以增强免疫力或促进健康。

### 对人体的影响：
- **一般情况**：L-半胱氨酸盐酸盐被认为相对安全，在推荐剂量范围内对人体无害。它在体内可被代谢为硫化氢、谷胱甘肽等化合物，参与抗氧化反应。
- **特定人群的考虑**：
  - **儿童**：目前关于婴幼儿食品中添加L-半胱氨酸盐酸盐的具体影响研究较少。一般建议遵循食品安全标准和指导，确保剂量安全。
  - **孕妇和哺乳期妇女**：在没有明确禁忌的情况下，适量使用通常被认为是安全的。但应咨询医生或营养师，尤其是在孕期特定阶段。
  - **老人**：老年人若无特殊健康问题，通常可以安全摄入。然而，对于有心脏疾病、高血压或其他慢性疾病的人来说，应在专业指导下使用。

### 剂量：
- **推荐剂量**：L-半胱氨酸盐酸盐的日常摄取剂量在食品中的使用通常遵循食品安全机构（如FAO/WHO）制定的标准和指导。
- **安全范围**：成人每日摄入量一般不超过100毫克，但具体剂量应根据特定食品的应用、目标人群的需求以及其健康状况来调整。

### 注意事项：
- 在添加到食品中时，需严格遵守国家或地区的食品安全法规和标准，确保用量在安全范围内。
- 对于有特殊健康需求的人群（如孕妇、婴儿、老人），建议在专业人员的指导下使用。

总之，L-半胱氨酸盐酸盐作为一种常用的食品添加剂，在合理使用的前提下对大多数人是安全的。然而，个体差异存在，对于某些敏感人群或特定疾病患者，可能需要特别注意其摄入量和适用性。"
半乳甘露聚糖,galactomannan,00.014,—,其他,,,,"### 半乳甘露聚糖 (Galactomannan, GM)

#### 适用食品上：

半乳甘露聚糖是一种天然的高分子多糖，因其独特的理化性质和生理功能，在食品工业中被广泛应用。它主要用于改善食品的口感、结构稳定性以及作为增稠剂、稳定剂或功能性成分。

- **食品添加剂**：在烘焙制品（如面包、蛋糕）、饮料（果冻、酸奶）等中用作乳化剂、稳定剂，增强其质地和风味。
- **健康食品**：由于具有益生元特性，可用于支持肠道微生物平衡的保健食品或膳食补充品。

#### 对人体的危害：

关于半乳甘露聚糖是否对人体有害的研究较少，但作为天然来源的多糖，通常被认为相对安全。不过，在特定个体（如对某些食品添加剂过敏的人）中可能会引起不良反应。大量摄入可能影响消化系统的功能，尤其是在敏感个体或消化系统受损的情况下。

#### 对特定人群的影响：

- **小孩**：对于儿童而言，半乳甘露聚糖的安全性与成人相似，但考虑到其潜在的肠道调节作用，建议适量使用，避免过量。
- **孕妇和哺乳期妇女**：目前没有明确的研究表明半乳甘露聚糖对孕妇或哺乳期妇女有害。但在孕期或哺乳期间，所有食物添加剂的摄入都应谨慎，最好在医生指导下使用。
- **老人**：对于老年人来说，由于其可能影响肠道菌群平衡的作用，建议适量并注意观察个体反应。

#### 剂量：

食品级半乳甘露聚糖的添加量通常根据具体应用需求而定。例如，在食品加工中作为增稠剂或稳定剂时，添加量一般在0.1%至2%之间。对于特定健康用途的产品（如膳食补充剂），剂量可能会有所不同，并应遵循产品标签上的指示。

### 总结：

半乳甘露聚糖作为一种多功能的天然多糖，在食品、医药和农业等领域有广泛应用。其对大多数个体来说通常是安全的，但对于敏感人群或特殊生理状态下的个体（如孕妇、儿童和老人）在使用时需特别注意。合理添加和适量使用是确保其安全性和益处的关键。建议在专业人员指导下使用，并遵循产品说明书中的剂量指导。"
苯甲酸及其钠盐（包括苯甲酸，苯甲酸钠）,"benzoic acid, sodium benzoate","17.001,17.002",210211,防腐剂,,,,"### 苯甲酸及其钠盐的概述

**适用范围**：苯甲酸及其钠盐（包括苯甲酸和苯甲酸钠）属于酸性防腐剂，主要用于防止变质发酸、延长食品保质期。它们在酸性条件下效果最佳，尤其适用于酸性环境中的食品防腐。这类防腐剂对酵母菌及部分细菌有较好的抑制作用，但对产酸菌的作用较弱。

**对人体影响**：苯甲酸及其钠盐是较为常见的食品添加剂，在许多国家的食品安全标准中被允许使用。在适量范围内，它们被认为是对人体安全的。不过，长期大量摄入可能导致肠胃不适、恶心等症状，并可能对特定个体产生过敏反应。对于小孩、孕妇和老人等特殊群体而言，虽然没有明确表明会有害健康，但建议根据个人情况及食品标签的指导谨慎使用。

**剂量控制**：苯甲酸及其钠盐的使用需严格遵守各国食品安全标准规定的最大允许添加量，以确保安全。例如，在食品中添加时，考虑到其在不同pH值下的活性差异（最适抑菌pH值约为2.5-4.0），应根据实际食品类型和需要选择适宜的防腐剂种类及剂量。

**常见应用**：苯甲酸及其钠盐多用于酱油、醋、蜜饯等食品中。它们在这些酸性环境中能有效抑制霉菌、酵母和细菌，延长保质期。在饮料工业中，包括可口可乐在内的许多产品也可能使用这类防腐剂以保持其新鲜度。

### 安全性考量

尽管苯甲酸及其钠盐被广泛认为是安全的食品添加剂，在适量使用的前提下对大多数人来说没有明显健康风险。然而，对于敏感个体或特定群体（如孕妇、儿童和老人），建议在医生或营养师的指导下使用，并关注食品包装上的成分说明及限量信息。

总之，苯甲酸及其钠盐作为一种常用的食品防腐剂，在提供食品安全性方面发挥了重要作用。正确使用并遵循安全标准能够确保其对消费者健康的影响最小化。"
